species_name,SRA_run_accession,library_layout,tissue,genome_refseq_accession,genome_ftp_path
Australian_echidna,SRR10530487,SINGLE,brain,GCF_015852505.1_mTacAcu1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/852/505/GCF_015852505.1_mTacAcu1.pri
Australian_echidna,SRR10530491,SINGLE,cerebellum,GCF_015852505.1_mTacAcu1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/852/505/GCF_015852505.1_mTacAcu1.pri
Australian_echidna,SRR10530493,SINGLE,brain,GCF_015852505.1_mTacAcu1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/852/505/GCF_015852505.1_mTacAcu1.pri
common_brushtail,SRR22399366,SINGLE,brain,GCF_011100635.1_mTriVul1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri
common_brushtail,SRR22399368,SINGLE,brain,GCF_011100635.1_mTriVul1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri
common_brushtail,SRR22399375,SINGLE,brain,GCF_011100635.1_mTriVul1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri
common_brushtail,SRR22399378,SINGLE,brain,GCF_011100635.1_mTriVul1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri
common_brushtail,SRR22399381,SINGLE,brain,GCF_011100635.1_mTriVul1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri
common_brushtail,SRR22399385,SINGLE,brain,GCF_011100635.1_mTriVul1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri
common_brushtail,SRR22399388,SINGLE,brain,GCF_011100635.1_mTriVul1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri
common_brushtail,SRR22399473,SINGLE,muscle,GCF_011100635.1_mTriVul1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri
common_brushtail,SRR22399479,SINGLE,brain,GCF_011100635.1_mTriVul1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri
European_shrew,SRR23712519,PAIRED,cortex,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712520,PAIRED,cortex,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712525,PAIRED,cortex,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712527,PAIRED,hypothalamus,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712528,PAIRED,hypothalamus,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712529,PAIRED,hypothalamus,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712530,PAIRED,hypothalamus,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712531,PAIRED,hippocampus,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712532,PAIRED,hippocampus,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712533,PAIRED,hippocampus,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712534,PAIRED,hippocampus,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712535,PAIRED,hippocampus,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712536,PAIRED,cortex,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
European_shrew,SRR23712537,PAIRED,cortex,GCF_027595985.1_mSorAra2.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/985/GCF_027595985.1_mSorAra2.pri
gray_short-tailed_opossum,SRR10076632,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076633,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076634,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076635,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076636,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076637,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076638,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076639,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076640,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076641,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076642,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076643,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076644,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076655,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076658,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076659,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076660,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076661,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076662,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076663,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076664,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076665,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076666,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076667,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076668,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076670,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076671,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076672,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076673,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076645,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076646,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076647,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076648,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076649,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076650,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076651,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076652,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076653,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076654,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076656,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076657,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR10076669,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR6206924,PAIRED,skeletal muscle,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR6206899,PAIRED,brain,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR5412205,SINGLE,brain,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR5412206,SINGLE,brain,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR1165282,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR1165283,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR1165284,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR1165285,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR1165286,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR1165287,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR1165288,SINGLE,spinal cord,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR449433,PAIRED,brain,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR449434,PAIRED,brain,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR776565,SINGLE,fetal brain,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
gray_short-tailed_opossum,SRR776566,SINGLE,fetal brain,GCF_027887165.1_mMonDom1.pri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri
